pl_name,pl_orbper,pl_rade,st_teff,st_rad,sy_snum,sy_pnum,disc_year,discoverymethod,target_confirmed
Kepler-770 c,1.475323222,5.88,4941.0,4.885,1.0,3.0,2016.0,Transit,1
2545.01,7.9940367,2.5576021,5846.29,1.25324,1.0,1.0,2016.0,Transit,0
1551.01,1.67546,6.44889,6745.5,1.78,1.0,1.0,2016.0,Transit,0
Kepler-593 b,21.21708973,2.6,6191.0,1.007,1.0,1.0,2016.0,Transit,1
Kepler-106 c,13.57078281,2.64,5854.0,1.012,1.0,4.0,2014.0,Transit,1
TOI-1739 b,8.303341406,1.946,4814.0,0.781,1.0,1.0,2024.0,Transit,1
Kepler-610 b,6.996926554,4.19,5943.0,1.13,1.0,2.0,2016.0,Transit,1
TOI-776 b,8.24663,2.4,3709.0,0.538,1.0,2.0,2020.0,Transit,1
4589.01,17.8335899,2.16267,6304.0,1.43,1.0,1.0,2016.0,Transit,0
733.01,4.8847937,1.94753,5969.0,0.94,1.0,1.0,2016.0,Transit,0
5225.01,22.9367426,8.88483,5721.0,1.34,1.0,1.0,2016.0,Transit,0
Kepler-135 c,11.448708,1.16,6090.0,1.275,1.0,2.0,2014.0,Transit,1
Kepler-646 b,15.87360981,1.53,5656.0,0.737,1.0,1.0,2016.0,Transit,1
Kepler-651 b,21.38521506,2.303,5349.0,0.849,1.0,1.0,2016.0,Transit,1
6843.01,5.4977872,14.0381026,6281.0,1.72746,1.0,1.0,2016.0,Transit,0
GJ 682 c,57.32,2.4,3028.0,0.95,1.0,2.0,2014.0,Radial Velocity,1
6425.01,12.1422411,11.7961,6716.0,1.83,1.0,1.0,2016.0,Transit,0
HD 167042 b,412.6,2.4,5010.0,4.3,1.0,1.0,2007.0,Radial Velocity,1
1297.01,3.93034,14.8838,6292.0,1.37,1.0,1.0,2016.0,Transit,0
4863.01,12.4856615,12.2535,3473.0,0.45,1.0,1.0,2016.0,Transit,0
4034.01,1.8020923,17.3634,5760.0,1.85,1.0,1.0,2016.0,Transit,0
Kepler-1162 b,32.56265,2.0,5540.0,0.8,1.0,2.0,2016.0,Transit,1
5462.01,3.5533716,4.6477,6280.9,1.21,1.0,1.0,2016.0,Transit,0
7164.01,736.5528811,3.13923,5659.0,0.86,1.0,1.0,2016.0,Transit,0
TOI-5799 c,14.010449,1.76,3452.0,0.321,1.0,2.0,2025.0,Transit,1
2432.01,1.82738,8.96794,6130.5,2.89,1.0,1.0,2016.0,Transit,0
7204.01,3.8080897,11.3715,6343.0,1.38,1.0,1.0,2016.0,Transit,0
EPIC 206024342 d,14.647531,2.6,5724.0,1.1,1.0,3.0,2021.0,Transit,1
HD 3167 d,8.509,2.4,5261.0,0.86,1.0,4.0,2017.0,Radial Velocity,1
TOI-2803 A b,1.962292,17.4523,6384.0,1.16,2.0,1.0,2023.0,Transit,1
880.02,2.5735943,2.7779229,4935.0,0.816999,1.0,1.0,2016.0,Transit,0
3613.01,3.1493729,13.6409,5766.0,0.96,1.0,1.0,2016.0,Transit,0
7276.01,14.2317652,8.27506,5914.0,3.21,1.0,1.0,2016.0,Transit,0
4780.01,4.6942884,16.4932,6400.0,2.03,1.0,1.0,2016.0,Transit,0
Kepler-23 b,7.10694385,1.88,5880.0,1.57,1.0,3.0,2011.0,Transit,1
GJ 876 e,124.26,2.4,5550.5,0.3,1.0,4.0,2010.0,Radial Velocity,1
GJ 433 b,7.3709,2.4,3600.0,0.95,1.0,3.0,2011.0,Radial Velocity,1
1948.01,3.6473383,1.9083777,5928.0,1.47579,1.0,1.0,2016.0,Transit,0
Kepler-1742 b,49.4781446,2.4,5582.0,0.865348,1.0,1.0,2021.0,Transit,1
TOI-700 e,27.80968975735,0.94918578,3482.0,0.419457,1.0,4.0,2023.0,Transit,1
EPIC 201238110 b,28.1656,1.87,5550.5,0.95,1.0,1.0,2019.0,Transit,1
6799.01,0.664786,5.36785,6333.0,1.35,1.0,1.0,2016.0,Transit,0
6562.01,4.0947485,17.3607607,5983.0,2.1987801,1.0,1.0,2016.0,Transit,0
839.01,2.4855806,36.5091254,6933.0,1.59944,1.0,1.0,2016.0,Transit,0
1319.01,0.890967,2.89678,5159.2,0.87,1.0,1.0,2016.0,Transit,0
TOI-5319 b,4.07853,2.83,3580.0,0.485,1.0,1.0,2024.0,Transit,1
6177.01,3.89989,14.6814,6076.0,1.41,1.0,1.0,2016.0,Transit,0
3250.01,3.2806578,11.5452,5717.0,1.18,1.0,1.0,2016.0,Transit,0
HIP 4845 b,34.15,2.4,5550.5,0.95,1.0,1.0,2020.0,Radial Velocity,1
3562.01,1.3298469,6.98364,5791.1,0.81,1.0,1.0,2016.0,Transit,0
1090.01,2.19296,22.7769,7009.8,2.95,1.0,1.0,2016.0,Transit,0
WASP-26 b,2.7566,14.79585452,5950.0,1.34,2.0,1.0,2010.0,Transit,1
2650.01,2.229735,12.7809294,5913.0,1.37479,1.0,1.0,2016.0,Transit,0
HD 10180 g,604.67,2.4,5911.0,1.109,1.0,6.0,2010.0,Radial Velocity,1
HD 106270 b,1872.0,2.4,5550.5,0.95,1.0,1.0,2011.0,Radial Velocity,1
