pl_name,pl_orbper,pl_rade,st_teff,st_rad,sy_snum,sy_pnum,disc_year,discoverymethod,target_confirmed
3204.01,4.0446543,2.44,5172.7,0.95,1.0,1.0,2016.0,Transit,0
6700.01,15.5177539,9.4825825,6314.93,1.49694,1.0,1.0,2016.0,Transit,0
Kepler-431 b,6.80252171,0.97,6293.0,1.682,1.0,3.0,2015,Transit,1
3954.01,3.4043154,20.3568,5833.0,1.0,1.0,1.0,2016.0,Transit,0
1795.01,2.7917911,6.0002066,6071.0,1.16271,1.0,1.0,2016.0,Transit,0
246.01,7.8728937,15.0953,5070.0,1.26,1.0,1.0,2016.0,Transit,0
Kepler-707 b,2.237492751,1.35,5228.0,0.755,1.0,1.0,2016,Transit,1
WASP-197 b,5.16655485276,14.3194419,6238.0,2.0792,1.0,1.0,2025,Transit,1
K2-384 e,9.71601,1.14,5552.0,0.257,1.0,5.0,2022,Transit,1
HD 202696 b,517.8,2.44,5040.0,6.43,1.0,2.0,2019,Radial Velocity,1
Kepler-476 b,14.006406,2.54,5817.0,0.96,1.0,1.0,2016,Transit,1
726.01,0.46132,1.89253,6629.0,1.21,1.0,1.0,2016.0,Transit,0
6858.01,3.3024845,1.73871,3634.0,0.49,1.0,1.0,2016.0,Transit,0
Kepler-393 b,9.182417,1.29,6189.0,1.382,1.0,2.0,2014,Transit,1
Kepler-1936 b,126.557522,4.5,6501.0,1.854,1.0,1.0,2021,Transit,1
6911.01,16.2520546,2.9719,6696.0,2.24,1.0,1.0,2016.0,Transit,0
7429.01,4.7117395,10.4295,6134.0,1.67,1.0,1.0,2016.0,Transit,0
HD 210193 b,649.918,2.44,5790.0,0.95,1.0,1.0,2019,Radial Velocity,1
5023.01,2.2749988,17.0496,3199.0,0.32,1.0,1.0,2016.0,Transit,0
KIC 8540376 c,75.2,2.4,6474.0,1.26,1.0,3.0,2015,Transit,1
K2-280 b,19.89531,8.01,5552.0,1.367,1.0,1.0,2018,Transit,1
4345.01,12.8910022,2.3547529,31000.0,0.18,1.0,1.0,2016.0,Transit,0
4662.01,4.7034187,2.58065,4481.0,0.69,1.0,1.0,2016.0,Transit,0
K2-352 d,14.869943,4.4,5930.0,0.923,1.0,3.0,2021,Transit,1
Kepler-24 d,4.24437621,1.72,5952.0,1.11,1.0,4.0,2014,Transit,1
6548.01,8.5473,10.3970349,6619.0,1.89911,1.0,1.0,2016.0,Transit,0
Kepler-839 b,37.8144514,2.29,6228.0,1.138,1.0,1.0,2016,Transit,1
Kepler-298 b,10.47548192,2.2,4612.0,0.65,1.0,3.0,2014,Transit,1
HD 104067 c,13.8992,2.44,4952.0,0.78,1.0,2.0,2024,Radial Velocity,1
1807.01,0.54937,1.53904,4612.99,0.74,1.0,1.0,2016.0,Transit,0
HD 154857 b,409.0,2.44,5604.56,2.27465,1.0,2.0,2004,Radial Velocity,1
3917.01,8.3289771,2.44,5552.0,0.95,1.0,1.0,2016.0,Transit,0
4798.01,5.5261155,9.00518,4824.0,0.84,1.0,1.0,2016.0,Transit,0
3213.01,2.5395579,2.44,3931.6,0.95,1.0,1.0,2016.0,Transit,0
4200.01,1.027641,2.44,5640.0,0.95,1.0,1.0,2016.0,Transit,0
6852.01,16.7382238,9.09208,4551.0,0.7,1.0,1.0,2016.0,Transit,0
942.01,4.32765,3.52025,4945.0,0.91,1.0,1.0,2016.0,Transit,0
1284.01,1.283251,2.558112,3855.0,0.560391,1.0,1.0,2016.0,Transit,0
Kepler-1399 b,1.638653058,1.31,6119.0,0.981,1.0,1.0,2016,Transit,1
XO-2 S c,120.8,2.44,5399.0,1.02,2.0,3.0,2014,Radial Velocity,1
951.01,2.96845,20.1857,5761.5,1.4,1.0,1.0,2016.0,Transit,0
